Key,fr-fr,sv,de,es-es,es-es-female,ru,ru-female,uk,uk-female,zh-hans,ja,pt-br,pt-br-female
my_language,Français,Svenska,Deutsch,Español,,Русский,,Українська,,简体中文,日本語,Português (Brasil),
welcome_1,Bonjour. Bienvenue sur Keep Driving.,Hej! Välkommen till Keep Driving.,Merhaba. Keep Driving' hoşgeldin.,¡Hola! Te damos la bienvenida a Keep Driving.,,Привет. Добро пожаловать в Keep Driving.,,Привіт. Вітаємо у Keep Driving.,,嗨，欢迎来到《心驰神往》。,Keep Drivingにようこそ。,Olá. Boas-vindas a Keep Driving.,
welcome_2,Amusez-vous bien!\n//Christopher & Josef,Ha så kul!\n//Christopher & Josef,İyi eğlenceler!\n//Christopher & Josef,¡Esperamos que lo disfrutes al máximo!\n//Christopher & Josef,,Наслаждайтесь игрой!\n//Кристофер и Йозеф,,Кермуйте з натхненням!\n//Крістофер і Йозеф,Кермуйте з натхненням!\n//Крістофер і Йозеф,敬祝旅途愉快！\n//Christopher & Josef,よい旅を！\n//クリストファーとジョセフより,Divirta-se bastante!\n//Christopher & Josef,
welcome_3_kbm,\n\n\n\n\n\nAppuyez sur n'importe quelle touche pour continuer,\n\n\n\n\n\n-Tryck var som helst för att fortsätta-,\n\n\n\n\n\n-Devam etmek için bir tuşa basın-,\n\n\n\n\n\n-Pulsa cualquier tecla para continuar-,,\n\n\n\n\n\n-Для продолжения нажмите любую клавишу-,,"\n\n\n\n\n\n-Натисніть будь-яку кнопку, щоби продовжити-","\n\n\n\n\n\n-Натисніть будь-яку кнопку, щоби продовжити-",\n\n\n\n\n\n-按任意键继续-,\n\n\n\n\n\n-いずれかのキーを押して続行-,\n\n\n\n\n\n-Pressione qualquer tecla para continuar-,
welcome_3_gp,\n\n\n\n\n\nAppuyez sur n'importe quel bouton pour continuer,\n\n\n\n\n\n-Tryck var som helst för att fortsätta-,\n\n\n\n\n\n-Devam etmek için bir butona basın-,\n\n\n\n\n\n-Pulsa cualquier botón para continuar-,,\n\n\n\n\n\n-Для продолжения нажмите любую кнопку-,,"\n\n\n\n\n\n-Натисніть будь-яку кнопку, щоби продовжити-","\n\n\n\n\n\n-Натисніть будь-яку кнопку, щоби продовжити-",\n\n\n\n\n\n-按任意键继续-,\n\n\n\n\n\n-いずれかのボタンを押して続行-,\n\n\n\n\n\n-Pressione qualquer botão para continuar-,
splash_presents,présente,presenterar,sunar,Presenta,,представляют,,представляє,,出品,presents,apresenta,
splash_supported_by,avec le soutien de,med stöd av,destekleriyle,Financiado por,,при поддержке,,за підтримки,,协力,supported by,apoiado por,
splash_a_game_by,UN JEU PAR,ETT SPEL AV,tarafından yapılmış bir oyun,UN JUEGO DE,,ИГРА ОТ,,ГРУ СТВОРЕНО,,开发,A GAME BY,UM JOGO POR,
press_any_key,APPUYEZ SUR N'IMPORTE QUELLE TOUCHE,TRYCK VAR SOM HELST,HERHANGİ BİR TUŞA BASIN,PULSA CUALQUIER TECLA,,НАЖМИТЕ ЛЮБУЮ КЛАВИШУ,,НАТИСНІТЬ БУДЬ-ЯКУ КНОПКУ,,按任意键开始,いずれかのキーを押してください,PRESSIONE QUALQUER TECLA,
wishlist_call_to_action,LISTE DE SOUHAITS SUR STEAM,LÄGG TILL PÅ WISHLIST PÅ STEAM,STEAM İSTEK LİSTENİZE EKLEYİN,AÑÁDELO A DESEADOS EN STEAM,,В ЖЕЛАЕМОЕ STEAM,,ДО СПИСКУ БАЖАНОГО STEAM,,加入Steam愿望单,Steamでウィッシュリストに登録,ADICIONE À LISTA DE DESEJOS NA STEAM,
splash_loading,chargement,laddar,yükleniyor,cargando,,загрузка,,завантаження,,正在载入,読み込み中,carregando,
game_over,GAME OVER,GAME OVER,OYUN BİTTİ,FIN DE PARTIDA,,КОНЕЦ ИГРЫ,,ДОЇЗДИЛИСЯ,,游戏失败,ゲームオーバー,FIM DE JOGO,
main_menu_new_game,NOUVEAU JEU,NYTT SPEL,YENİ OYUN,NUEVA PARTIDA,,НОВАЯ ИГРА,,НОВА ГРА,,新游戏,ニューゲーム,NOVO JOGO,
main_menu_continue,CONTINUER,FORTSÄTT,DEVAM ET,CONTINUAR,,ПРОДОЛЖИТЬ,,ПРОДОВЖИТИ,,继续游戏,コンティニュー,CONTINUAR,
main_menu_options,OPTIONS,INSTÄLLNINGAR,AYARLAR,OPCIONES,,ПАРАМЕТРЫ,,ПАРАМЕТРИ,,选项,オプション,OPÇÕES,
